"DATE","user_id","account_id","total_events","column_events","board_events","num_of_boards","count_kind_columns","raw_events","group_events","invite_events","import_events","notification_events","new_entry_events","payment_events","inbox_events","communicating_events","non_communicating_events","web_events","ios_events","android_events","desktop_app_events","empty_events"
"2019-01-01",6181915,2793790,212,30,1,1,4,14,0,0,6,0,1,0,1,4,58,201,0,0,0,9
"2019-01-01",6182266,2793900,207,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,189,0,0,8
"2019-01-01",6182190,2793860,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6181455,2793557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6183315,2794231,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6182530,2794034,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6182472,2793999,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-03",6183426,2794238,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-07",6212823,2794278,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2019-01-10",6183615,2794261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-14",6182278,2793906,76,1,0,2,1,6,0,0,2,0,2,0,2,12,13,74,0,0,0,2
"2019-01-03",6183295,2794221,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-12",6186184,2794423,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"2019-01-03",6181567,2793624,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-10",6182265,2793901,61,0,1,1,0,0,0,0,2,0,1,0,1,0,4,52,0,0,0,8
"2019-01-15",6183730,2794320,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-01-01",6183030,2794184,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"2019-01-09",6182599,2794058,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
"2019-01-06",6181867,2793730,66,1,0,1,1,5,0,0,0,0,1,0,2,9,11,37,29,0,0,0
"2019-01-13",6182899,2794172,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
