"event_date","account_id","plan_id","event_type","invoice_charge_amount","prev_plan_id","status","status_reason","currency","invoice_charge_amount_usd","mrr_gain","subscription_id","next_charge_date","payment_type","transaction_date"
"2019-01-07",2793955,199,"CHARGE",64.00,NULL,"","","AUD",44.67,46.00,65984302,"2019-02-07 21:05:00","CC","2019-01-07 21:05:00"
"2019-05-07",2793955,199,"RECURRING",64.00,199,"","","AUD",43.94,0.00,65984302,"2019-06-07 20:05:00","CC","2019-05-07 20:34:00"
"2019-03-07",2793955,199,"RECURRING",64.00,199,"","","AUD",44.20,0.00,65984302,"2019-04-07 20:05:00","CC","2019-03-07 21:33:00"
"2019-06-07",2793955,199,"RECURRING",64.00,199,"","","AUD",43.62,0.00,65984302,"2019-07-07 20:05:00","CC","2019-06-07 20:34:00"
"2019-04-10",2793955,199,"PAYMENT_METHOD_UPDATED",0.00,199,"","","",0.00,NULL,65984302,NULL,"CC","2019-04-10 02:32:00"
"2019-02-07",2793955,199,"RECURRING",64.00,199,"","","AUD",44.52,-1.00,65984302,"2019-03-07 21:05:00","CC","2019-02-07 21:33:00"
"2019-04-07",2793955,199,"RECURRING",64.00,199,"","","AUD",44.54,0.00,65984302,"2019-05-07 20:05:00","CC","2019-04-07 20:23:00"
"2019-07-07",2793955,199,"RECURRING",64.00,199,"","","AUD",43.91,0.00,65984302,"2019-08-07 20:05:00","CC","2019-07-07 20:01:00"
"2019-01-07",2794172,198,"CHARGE",29.00,NULL,"","","USD",29.00,29.00,65925498,"2019-02-07 07:09:00","CC","2019-01-07 07:09:00"
"2019-01-28",2794172,198,"CANCEL_ON_RENEWAL",0.00,198,"","","USD",0.00,NULL,65925498,"2019-02-07 07:09:00","CC","2019-01-28 07:27:00"
"2019-02-07",2794172,198,"CANCELLATION",0.00,198,"","","USD",0.00,-29.00,65925498,"2019-02-07 07:09:00","CC","2019-02-07 07:32:00"
"2019-01-28",2794489,231,"CONTRACT_CHANGE",0.00,232,"SUCCESS","","USD",0.00,-20.00,66852410,"2020-01-28 15:02:00","CC","2019-01-28 15:02:00"
"2019-01-28",2794489,232,"FREE_DAYS_WERE_GIVEN",0.00,NULL,"","","",0.00,NULL,NULL,"2020-03-28 07:00:00","",NULL
"2019-01-28",2794489,231,"RECURRING",0.00,231,"","","USD",0.00,NULL,66852410,"2020-01-28 15:02:00","BALANCE","2019-01-28 15:02:00"
"2019-01-29",2794489,232,"REFUND",-258.72,232,"","","USD",-258.72,NULL,66852410,"2020-01-28 15:02:00","CC","2019-01-29 09:51:00"
