"account_id","marketing_source","marketing_referrer","created_at","plan_id","trial_start","started_plan_at","signup_box_origin","churn_state","churn_date","churn_reason","time_diff","region","country","subscription_started_at","paying","is_gmail","has_logo","free_users","marketing_banner","device","os","browser","collection_21_days","trial_period","company_size","next_charge_date","last_upgrade_promotion_start","cs_agent","sales_agent","disabled","payment_currency","disable_promotion","max_team_size","min_team_size","cancellation_on_renewal_date","partner_id","industry","billed_users_count","utm_cluster_id","pricing_version","has_domain","mrr","lead_score","industry","team_size","user_goal","user_description","sub_industry"
2793496,"bing","https://www.bing.com/search?q=basecamp login","2019-01-01",NULL,"2019-01-01",NULL,"","none",NULL,NULL, 11,"New South Wales","AU",NULL,0,1,1,"","","desktop","windows","microsoft edge",0,14,NULL,NULL,NULL,NULL,NULL,NULL,"AUD",0,5,2,NULL,NULL,"",0,"orders",3,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2793497,"","","2019-01-01",NULL,"2019-01-01",NULL,"mobile_app","none",NULL,NULL,"","New Jersey","US",NULL,0,1,1,"","","mobile","ios",NULL,0,14,NULL,NULL,NULL,NULL,NULL,NULL,"USD",0,5,2,NULL,NULL,"",0,"",3,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2793498,"adwordsverticals","https://www.google.com/","2019-01-01",NULL,"2019-01-01",NULL,"","none",NULL,NULL,-6,"Louisiana","US",NULL,0,1,1,"","","desktop","windows","chrome",0,14,NULL,NULL,NULL,NULL,NULL,NULL,"USD",0,1,1,NULL,NULL,"Other",0,"todos",3,0,NULL,0,"Other",1,NULL,NULL,NULL
2793499,"","","2019-01-01",NULL,"2019-01-01",NULL,"mobile_app","none",NULL,NULL,"","Tel Aviv","IL",NULL,0,1,1,"","","mobile","android",NULL,0,14,NULL,NULL,NULL,NULL,NULL,NULL,"USD",0,NULL,NULL,NULL,NULL,"",0,"",3,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2793500,"adwordsyoutube","https://www.youtube.com/","2019-01-01",NULL,"2019-04-04",NULL,"","none",NULL,NULL,-5,"North Carolina","US",NULL,0,1,1,"","","desktop","chrome_os","chrome",0,14,NULL,NULL,NULL,NULL,NULL,NULL,"USD",0,1,1,NULL,NULL,"Design",0,"todos",3,0,NULL,0,"Design",1,NULL,NULL,NULL
2793501,"adwordsverticals","https://www.google.com/","2019-01-01",NULL,"2019-01-01",NULL,"","none",NULL,NULL,-5,"Michigan","US",NULL,0,0,1,"","","desktop","mac","chrome",0,14,NULL,NULL,NULL,NULL,NULL,NULL,"USD",0,5,2,NULL,NULL,"Finance",0,"crm",3,1,NULL,0,"Finance","2-5",NULL,NULL,NULL
2793502,"adwordsyoutube","https://www.youtube.com/","2019-01-01",NULL,"2019-01-01",NULL,"","none",NULL,NULL, 2,"Tel Aviv","IL",NULL,0,1,1,"","","desktop","windows","chrome",0,14,NULL,NULL,NULL,NULL,NULL,NULL,"USD",0,1,1,NULL,NULL,"Business Owner",0,"orders",3,0,NULL,0,"Business Owner","1-1",NULL,NULL,NULL
2793503,"","","2019-01-01",NULL,"2019-05-16",NULL,"mobile_app","none",NULL,NULL,"","Jerusalem","IL",NULL,0,1,1,"","","mobile","android",NULL,0,14,NULL,NULL,NULL,NULL,NULL,NULL,"USD",0,NULL,NULL,NULL,NULL,"",0,"",3,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2793504,"","","2019-01-01",NULL,"2019-01-01",NULL,"mobile_app","none",NULL,18,"","Al Asimah","KW",NULL,0,1,1,"","","mobile","ios",NULL,0,14,NULL,NULL,NULL,NULL,NULL,1,"USD",0,0,0,NULL,NULL,"",0,"",3,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2793505,"capterra","https%3a%2f%2fwww.capterra.com%2f","2019-01-01",NULL,"2019-01-01",NULL,"","none",NULL,NULL, 2,"Central Macedonia","GR",NULL,0,1,1,"","","mobile","android","chrome",0,14,NULL,NULL,NULL,NULL,NULL,NULL,"EUR",0,25,16,NULL,NULL,"",0,"",3,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2793506,"","https://monday.com/","2019-01-01",NULL,"2019-01-01",NULL,"","none",NULL,NULL,-8,"British Columbia","CA",NULL,0,1,1,"","","desktop","windows","chrome",0,14,NULL,NULL,NULL,NULL,NULL,NULL,"CAD",0,500,500,NULL,NULL,"",0,"",3,0,NULL,0,NULL,NULL,NULL,NULL,NULL
2793507,"mb","https://googleads.g.doubleclick.net/pagead/ads?client=ca-pub-5496989206872208","2019-01-01",NULL,"2019-01-01",NULL,"","none",NULL,NULL,-8,"Washington","US",NULL,0,0,1,"","flickering_board_160_600","desktop","windows","microsoft edge",0,14,NULL,NULL,NULL,NULL,NULL,NULL,"USD",0,5,2,NULL,NULL,"Business Owner",0,"todos",3,1,NULL,0,"Business Owner","2-5",NULL,NULL,NULL
2793508,"","https%3a%2f%2fwww.google.com%2f","2019-01-01",NULL,"2019-02-10",NULL,"","",NULL,14, 13,"Auckland","NZ","2019-01-10 22:16:17",0,0,1,"","","desktop","windows","firefox",72,14,NULL,NULL,NULL,NULL,NULL,NULL,"USD",0,5,2,NULL,NULL,"Project Management",0,"client_projects",3,1,72.00,0,"Project Management","2-5",NULL,NULL,NULL
