"account_id","user_id","created_at","is_admin","pending","enabled","became_active_at","time_diff","city","region","country","serial_number","has_photo","device","os","browser","is_gmail","campaign_id","first_user_in_account_id","LANGUAGE","gender","seniority","title","mobile_activation_date","has_phone"
2793496,6181341,"2018-12-31",1,0,1,"2019-01-01",11,"Warrawee","New South Wales","AU",1,1,"desktop","windows","microsoft edge",1,4005514,29837820,"","M",NULL,NULL,NULL,1
2793497,6181339,"2018-12-31",1,0,1,"2019-01-01",-5,"Old Bridge","New Jersey","US",1,1,"mobile","ios",NULL,1,4005516,29837847,"","F",NULL,NULL,"2019-01-01",1
2793497,6181386,"2019-01-01",0,0,1,"2019-01-01",-5,"New York","New York","US",2,1,"mobile","android",NULL,1,4005619,29839571,"","M",NULL,NULL,"2019-01-01",1
2793498,6181345,"2019-01-01",1,0,1,"2019-01-01",-6,"New Iberia","Louisiana","US",1,1,"desktop","windows","chrome",1,4005517,29837888,"",NULL,NULL,NULL,NULL,1
2793499,6181350,"2019-01-01",1,0,1,"2019-01-01","","Tel Aviv","Tel Aviv","IL",1,1,"mobile","android",NULL,1,4005518,29837743,"","M",NULL,NULL,"2019-01-01",1
2793500,6181347,"2019-01-01",1,0,1,"2019-01-01",-4,"Durham","North Carolina","US",1,1,"desktop","chrome_os","chrome",1,4005519,29837857,"","F",NULL,NULL,NULL,1
2793501,6181346,"2019-01-01",1,0,1,"2019-01-01",-5,"Muskegon","Michigan","US",1,1,"desktop","mac","chrome",0,2613124,18274804,"","F","none"," ",NULL,1
2793502,6181349,"2019-01-01",1,0,1,"2019-01-01",2,"Tel Aviv","Tel Aviv","IL",1,1,"desktop","windows","chrome",1,4005520,29837909,"",NULL,NULL,NULL,NULL,1
2793503,6181352,"2019-01-01",1,0,1,"2019-01-01","","Jerusalem","Jerusalem","IL",1,1,"mobile","android",NULL,1,4005521,28311972,"","M",NULL,NULL,"2019-01-01",1
2793504,6181356,"2019-01-01",1,0,1,"2019-01-01",3,"Kuwait City","Al Asimah","KW",1,1,"mobile","ios",NULL,1,4005522,29837986,"","M",NULL,NULL,"2019-01-01",1
2793505,6181361,"2019-01-01",1,0,1,"2019-01-01", 2,"Thessaloniki","Central Macedonia","GR",1,1,"mobile","android","chrome",1,4005523,29838083,"",NULL,NULL,NULL,NULL,1
2793506,6181359,"2019-01-01",1,0,1,"2019-01-01",-8,"Richmond","British Columbia","CA",1,1,"desktop","windows","chrome",1,4005524,29838033,"","M",NULL,NULL,NULL,1
2793507,6181363,"2019-01-01",1,0,1,"2019-01-01",-8,"Port Orchard","Washington","US",1,1,"desktop","windows","microsoft edge",0,4005525,29838110,"","M","none"," ",NULL,1
2793508,6181364,"2019-01-01",1,0,1,"2019-01-01",13,"Auckland","Auckland","NZ",1,1,"desktop","windows","firefox",0,3724061,27031553,"","F","none"," ",NULL,1
2793508,6181406,"2019-01-01",0,0,1,"2019-01-13",13,"Sydney","New South Wales","AU",2,1,"desktop","windows","internet explorer",0,4122437,27031553,"","M","none","Project Coordinator ",NULL,1
2793509,6181362,"2019-01-01",1,0,1,"2019-01-01", 11,"Taree","New South Wales","AU",1,1,"desktop","windows","firefox",1,4005526,29838064,"","M",NULL,NULL,NULL,1
